name,displayName,regionalDisplayName,regionType,regionCategory,geographyGroup,geography,physicalLocation,latitude,longitude,availabilityZoneSupport,accessRestriction,isoCountryCode,country,C087,C098,C029,P029,C105,C100,C111,C138,C182,C155,C187
italynorth,Italy North,(Milan) + Italy North,Physical,Recommended,Italy,Italy,Milan,45.46,9.19,Yes,None,IT,Italy,1958.0,1958.0,1934.0,2026.0,1968,1956.0,1963.0,1981.0,2000.0,2023.0,2023.0
japaneast,Japan East,"(Tokyo, Saitama) + Japan East",Physical,Recommended,Japan,Japan,"Tokyo, Saitama",35.86,139.65,Yes,None,JP,Japan,1965.0,1953.0,1932.0,,2022,1967.0,,2000.0,2001.0,2026.0,2007.0
japanwest,Japan West,(Osaka) + Japan West,Physical,Recommended,Japan,Japan,Osaka,34.69,135.5,Yes,None,JP,Japan,1965.0,1953.0,1932.0,,2022,1967.0,,2000.0,2001.0,2026.0,2007.0
koreacentral,Korea Central,(Seoul) + Korea Central,Physical,Recommended,Korea,Korea,Seoul,37.57,126.98,Yes,None,KR,Republic of Korea,2021.0,2021.0,2021.0,,,1997.0,1998.0,1999.0,2001.0,2008.0,2008.0
koreasouth,Korea South,(Busan) + Korea South,Physical,Recommended,Korea,Korea,Busan,35.18,129.08,No,None,KR,Republic of Korea,2021.0,2021.0,2021.0,,,1997.0,1998.0,1999.0,2001.0,2008.0,2008.0
malaysiawest,Malaysia West,(Kuala Lumpur) + Malaysia West,Physical,Recommended,Malaysia,Malaysia,Kuala Lumpur,3.14,101.69,Yes,None,MY,Malaysia,,1961.0,1957.0,2022.0,1958 (denounced 1990),1997.0,,1997.0,2000.0,2024.0,2012.0
mexicocentral,Mexico Central,(Querétaro State) + Mexico Central,Physical,Recommended,Mexico,Mexico,Querétaro State,20.59,-100.39,Yes,None,MX,Mexico,1950.0,2018.0,1934.0,2023.0,1959,1952.0,1961.0,2015.0,2000.0,1984.0,
newzealandnorth,New Zealand North,(Auckland) + New Zealand North,Physical,Recommended,New Zealand,New Zealand,Auckland,-36.85,174.76,Yes,None,NZ,New Zealand,,2003.0,1938.0,2019.0,1968,1983.0,1983.0,,2001.0,2007.0,
northcentralus,North Central US,(Illinois) + North Central US,Physical,Recommended,United States,United States,Illinois,41.88,-87.63,ComingSoon,None,US,United States of America,,,,,1991,,,,1999.0,,
northeurope,North Europe,(Ireland) + North Europe,Physical,Recommended,Europe,Europe,Ireland,53.35,-6.26,Yes,None,IE,Ireland,1955.0,1955.0,1931.0,2019.0,1958,1974.0,1999.0,1978.0,1999.0,1995.0,
norwayeast,Norway East,(Norway) + Norway East,Physical,Recommended,Norway,Norway,Norway,59.91,10.75,Yes,None,NO,Norway,1949.0,1955.0,1932.0,2015.0,1958,1959.0,1959.0,1980.0,2000.0,1982.0,2015.0
norwaywest,Norway West,(Norway) + Norway West,Logical,Recommended,Norway,Norway,Norway,60.39,5.32,No,Restricted - supports specific customer scenarios such as disaster recovery within a specific geographic area,NO,Norway,1949.0,1955.0,1932.0,2015.0,1958,1959.0,1959.0,1980.0,2000.0,1982.0,2015.0
polandcentral,Poland Central,(Warsaw) + Poland Central,Physical,Recommended,Poland,Poland,Warsaw,52.23,21.01,Yes,None,PL,Poland,1957.0,1957.0,1958.0,2017.0,1958,1954.0,1961.0,1978.0,2002.0,,
qatarcentral,Qatar Central,(Doha) + Qatar Central,Physical,Recommended,Qatar,Qatar,Doha,25.29,51.53,Yes,None,QA,Qatar,,,1998.0,,2007,,1976.0,2006.0,2000.0,,
southafricanorth,South Africa North,(Johannesburg) + South Africa North,Physical,Recommended,South Africa,South Africa,Johannesburg,-26.2,28.05,Yes,None,ZA,South Africa,1996.0,1996.0,1997.0,,1997,2000.0,1997.0,2000.0,2000.0,2003.0,
southafricawest,South Africa West,(Cape Town) + South Africa West,Logical,Recommended,South Africa,South Africa,Cape Town,-33.92,18.42,No,Restricted - supports specific customer scenarios such as disaster recovery within a specific geographic area,ZA,South Africa,1996.0,1996.0,1997.0,,1997,2000.0,1997.0,2000.0,2000.0,2003.0,
southcentralus,South Central US,(Texas) + South Central US,Physical,Recommended,United States,United States,Texas,29.42,-98.49,Yes,None,US,United States of America,,,,,1991,,,,1999.0,,
southindia,South India,(Chennai) + South India,Physical,Recommended,India,India,Chennai,13.08,80.27,No,None,IN,India,,,1954.0,,2000,1958.0,1960.0,2017.0,2017.0,,
southeastasia,Southeast Asia,(Singapore) + Southeast Asia,Physical,Recommended,Asia Pacific,Asia Pacific,Singapore,1.35,103.82,Yes,None,SG,Singapore,,1965.0,1965.0,,1965 (denounced 1979),2002.0,,2005.0,2001.0,2019.0,2012.0
spaincentral,Spain Central,(Madrid) + Spain Central,Physical,Recommended,Spain,Spain,Madrid,40.42,-3.7,Yes,None,ES,Spain,1977.0,1977.0,1932.0,2017.0,1967,1967.0,1967.0,1977.0,2001.0,1985.0,2009.0
swedencentral,Sweden Central,(Gävle) + Sweden Central,Physical,Recommended,Sweden,Sweden,Gävle,60.67,17.14,Yes,None,SE,Sweden,1949.0,1950.0,1931.0,2017.0,1958,1962.0,1962.0,1990.0,2001.0,1982.0,2008.0
switzerlandnorth,Switzerland North,(Zurich) + Switzerland North,Physical,Recommended,Switzerland,Switzerland,Zurich,47.38,8.54,Yes,None,CH,Switzerland,1975.0,1999.0,1940.0,2017.0,1958,1972.0,1961.0,1999.0,2000.0,,
switzerlandwest,Switzerland West,(Geneva) + Switzerland West,Logical,Recommended,Switzerland,Switzerland,Geneva,46.2,6.14,No,Restricted - supports specific customer scenarios such as disaster recovery within a specific geographic area,CH,Switzerland,1975.0,1999.0,1940.0,2017.0,1958,1972.0,1961.0,1999.0,2000.0,,
uaecentral,UAE Central,(Abu Dhabi) + UAE Central,Logical,Recommended,UAE,UAE,Abu Dhabi,24.45,54.38,No,Restricted - supports specific customer scenarios such as disaster recovery within a specific geographic area,AE,United Arab Emirates,,,1982.0,2026.0,1997,1997.0,2001.0,1998.0,2001.0,,
uaenorth,UAE North,(Dubai) + UAE North,Physical,Recommended,UAE,UAE,Dubai,25.27,55.3,Yes,None,AE,United Arab Emirates,,,1982.0,2026.0,1997,1997.0,2001.0,1998.0,2001.0,,
uksouth,UK South,(London) + UK South,Physical,Recommended,United Kingdom,United Kingdom,London,51.51,-0.13,Yes,None,GB,United Kingdom of Great Britain and Northern Ireland,1949.0,1950.0,1931.0,2016.0,1957,1971.0,1999.0,2000.0,2000.0,,2008.0
ukwest,UK West,(Cardiff) + UK West,Physical,Recommended,United Kingdom,United Kingdom,Cardiff,51.48,-3.18,No,None,GB,United Kingdom of Great Britain and Northern Ireland,1949.0,1950.0,1931.0,2016.0,1957,1971.0,1999.0,2000.0,2000.0,,2008.0
westcentralus,West Central US,(Wyoming) + West Central US,Physical,Recommended,United States,United States,Wyoming,41.14,-104.82,No,None,US,United States of America,,,,,1991,,,,1999.0,,
westeurope,West Europe,(Netherlands) + West Europe,Physical,Recommended,Europe,Europe,Netherlands,52.37,4.9,Yes,None,NL,Netherlands (Kingdom of the),1950.0,1993.0,1933.0,2017.0,1959,1971.0,1973.0,1976.0,2002.0,1991.0,2024.0
westindia,West India,(Mumbai) + West India,Physical,Recommended,India,India,Mumbai,19.08,72.88,No,None,IN,India,,,1954.0,,2000,1958.0,1960.0,2017.0,2017.0,,
westus,West US,(California) + West US,Physical,Recommended,United States,United States,California,37.34,-121.89,No,None,US,United States of America,,,,,1991,,,,1999.0,,
westus2,West US 2,(Washington) + West US 2,Physical,Recommended,United States,United States,Washington,47.23,-119.85,Yes,None,US,United States of America,,,,,1991,,,,1999.0,,
westus3,West US 3,(Phoenix) + West US 3,Physical,Recommended,United States,United States,Phoenix,33.45,-112.07,Yes,None,US,United States of America,,,,,1991,,,,1999.0,,
