,id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob,az_region,distance_km
10,417371,BRA-2021-2-12693-5,2021,False,Clear,2,12693.0,11934,Comando Vermelho - Terceiro Comando Puro,12693.0,12693,Comando Vermelho - Terceiro Comando Puro,772.0,772,Comando Vermelho,4462.0,4462,Terceiro Comando Puro,1,"""G1,2021-09-10,Jovem é baleado em barbearia de Três Rios
CR 	G1 Sul do Rio e Costa Verde""",G1,2021-09-10,"Jovem é baleado em barbearia de Três Rios
CR 	G1 Sul do Rio e Costa Verde",G1,1,Três Rios town,"Purys neighborhood, Três Rios (RJ)",Rio de Janeiro state,Três Rios municipality,-22.1183,-43.2095,POINT (-43.2095 -22.1183),97474,Brazil,140,Americas,1,1,2021-09-09 00:00:00.000,2021-09-09 00:00:00.000,0,0,0,1,1,1,1,,,brazilsoutheast,88.1265973227722
11,417396,BRA-2021-2-12693-0,2021,False,Clear,2,12693.0,11934,Comando Vermelho - Terceiro Comando Puro,12693.0,12693,Comando Vermelho - Terceiro Comando Puro,772.0,772,Comando Vermelho,4462.0,4462,Terceiro Comando Puro,1,"""G1,2021-09-20,Um homem morre e outro fica ferido após tiroteio em São Gonçalo
CR 	G1 Rio""",G1,2021-09-20,"Um homem morre e outro fica ferido após tiroteio em São Gonçalo
CR 	G1 Rio",G1,1,São Gonçalo town,"São Gonçalo, in the Metropolitan Region of Rio,",Rio de Janeiro state,São Gonçalo municipality,-22.82694,-43.05389,POINT (-43.05389 -22.82694),96754,Brazil,140,Americas,1,1,2021-09-19 00:00:00.000,2021-09-19 00:00:00.000,0,0,0,1,1,1,1,,,brazilsoutheast,15.060456689929094
12,428837,BRA-2021-3-1702-5,2021,True,Clear,3,772.0,1222,Comando Vermelho - Civilians,772.0,1702,Comando Vermelho - Civilians,772.0,772,Comando Vermelho,9999.0,1,Civilians,1,"""O Dia,2021-05-19,Shot that killed photographer in Niterói was fired by CV dealer, concludes police""",O Dia,2021-05-19,"Shot that killed photographer in Niterói was fired by CV dealer, concludes police",O Dia,1,Niterói town,"Santo Cristo community, in Fonseca, in Niterói",Rio de Janeiro state,Niterói municipality,-22.88333,-43.10361,POINT (-43.10361 -22.88333),96754,Brazil,140,Americas,1,1,2021-05-15 00:00:00.000,2021-05-15 00:00:00.000,0,0,1,0,1,1,1,,,brazilsoutheast,7.419064031321477
13,428838,BRA-2021-2-12693-1,2021,False,Clear,2,12693.0,11934,Comando Vermelho - Terceiro Comando Puro,12693.0,12693,Comando Vermelho - Terceiro Comando Puro,772.0,772,Comando Vermelho,4462.0,4462,Terceiro Comando Puro,1,"""O Dia,2021-06-03,War between rival factions of communities in Madureira leaves one person dead""",O Dia,2021-06-03,War between rival factions of communities in Madureira leaves one person dead,O Dia,1,Rio de Janeiro town,"Serrinha community, in Madureira, Rio de Janeiro/RJ.",Rio de Janeiro state,Rio de Janeiro municipality,-22.90278,-43.2075,POINT (-43.2075 -22.90278),96754,Brazil,140,Americas,1,1,2021-06-03 00:00:00.000,2021-06-03 00:00:00.000,0,0,1,0,1,1,1,,,brazilsoutheast,3.923997271629787
14,428840,BRA-2021-2-12693-2,2021,False,Clear,2,12693.0,11934,Comando Vermelho - Terceiro Comando Puro,12693.0,12693,Comando Vermelho - Terceiro Comando Puro,772.0,772,Comando Vermelho,4462.0,4462,Terceiro Comando Puro,1,"""O Dia,2021-02-02,Delivery man's body is found in a river on the banks of Av. Brasil""",O Dia,2021-02-02,Delivery man's body is found in a river on the banks of Av. Brasil,O Dia,1,Rio de Janeiro town,"Rio das Pedras, on the banks of Avenida Brasil, in Fazenda Botafogo, in the North Zone of Rio de Janeiro.",Rio de Janeiro state,Rio de Janeiro municipality,-22.90278,-43.2075,POINT (-43.2075 -22.90278),96754,Brazil,140,Americas,1,2,2021-01-24 00:00:00.000,2021-01-29 00:00:00.000,0,0,1,0,1,1,1,,,brazilsoutheast,3.923997271629787
15,429670,BRA-2022-2-12693-0,2022,False,Clear,2,12693.0,11934,Comando Vermelho - Terceiro Comando Puro,12693.0,12693,Comando Vermelho - Terceiro Comando Puro,772.0,772,Comando Vermelho,4462.0,4462,Terceiro Comando Puro,1,"""Portal Tucumã,2022-03-02,Video: Criminal faction rips off teenagers' heads; strong scenes""",Portal Tucumã,2022-03-02,Video: Criminal faction rips off teenagers' heads; strong scenes,Portal Tucumã,1,Rio de Janeiro town,North Zone,Rio de Janeiro state,Rio de Janeiro municipality,-22.90278,-43.2075,POINT (-43.2075 -22.90278),96754,Brazil,140,Americas,1,1,2022-03-02 00:00:00.000,2022-03-02 00:00:00.000,2,0,0,0,2,2,2,,,brazilsoutheast,3.923997271629787
16,432955,BRA-2021-2-12693-6,2021,False,Clear,2,12693.0,11934,Comando Vermelho - Terceiro Comando Puro,12693.0,12693,Comando Vermelho - Terceiro Comando Puro,772.0,772,Comando Vermelho,4462.0,4462,Terceiro Comando Puro,1,"""G1,2022-01-11,Suspeitos de matar a tiros integrante de facção rival são presos em Três Rios""",G1,2022-01-11,Suspeitos de matar a tiros integrante de facção rival são presos em Três Rios,G1,1,Três Rios town,"Street Vereador Elisson Jorge, neighborhood Habitat, in Três Rios (RJ).",Rio de Janeiro state,Três Rios municipality,-22.1183,-43.2095,POINT (-43.2095 -22.1183),97474,Brazil,140,Americas,1,1,2021-12-24 00:00:00.000,2021-12-24 00:00:00.000,0,0,0,1,1,1,1,,,brazilsoutheast,88.1265973227722
17,432957,BRA-2021-2-12693-7,2021,False,Clear,2,12693.0,11934,Comando Vermelho - Terceiro Comando Puro,12693.0,12693,Comando Vermelho - Terceiro Comando Puro,772.0,772,Comando Vermelho,4462.0,4462,Terceiro Comando Puro,1,"""G1,2021-03-11,Confronto entre facções termina com um morto e dois baleados em Três Rios""",G1,2021-03-11,Confronto entre facções termina com um morto e dois baleados em Três Rios,G1,1,Três Rios town,"Vila Isabel neighborhood, Três Rios (RJ).",Rio de Janeiro state,Três Rios municipality,-22.1183,-43.2095,POINT (-43.2095 -22.1183),97474,Brazil,140,Americas,1,1,2021-03-11 00:00:00.000,2021-03-11 00:00:00.000,0,0,0,1,1,1,1,,,brazilsoutheast,88.1265973227722
18,461367,BRA-2023-3-1702-0,2023,True,Clear,3,772.0,1222,Comando Vermelho - Civilians,772.0,1702,Comando Vermelho - Civilians,772.0,772,Comando Vermelho,9999.0,1,Civilians,1,"""A Tribuna RJ,2023-01-02,Entregador é morto a tiros, após errar caminho em São Gonçalo""",A Tribuna RJ,2023-01-02,"Entregador é morto a tiros, após errar caminho em São Gonçalo",A Tribuna RJ,1,São Gonçalo town,"Francisca Marquês Street, Morro da Torre, downtown São Gonçalo/RJ.",Rio de Janeiro state,São Gonçalo municipality,-22.82694,-43.05389,POINT (-43.05389 -22.82694),96754,Brazil,140,Americas,1,1,2023-01-02 00:00:00.000,2023-01-02 00:00:00.000,0,0,1,0,1,1,1,,,brazilsoutheast,15.060456689929094
19,471531,BRA-2023-3-1702-12,2023,True,Clear,3,772.0,1222,Comando Vermelho - Civilians,772.0,1702,Comando Vermelho - Civilians,772.0,772,Comando Vermelho,9999.0,1,Civilians,1,"""G1,2023-03-22,Vendedor de água é morto na Gardênia, na Zona Oeste""",G1,2023-03-22,"Vendedor de água é morto na Gardênia, na Zona Oeste",G1,1,Rio de Janeiro town,"Gardênia, in Rio's West Zone/RJ.",Rio de Janeiro state,Rio de Janeiro municipality,-22.90278,-43.2075,POINT (-43.2075 -22.90278),96754,Brazil,140,Americas,1,1,2023-03-22 00:00:00.000,2023-03-22 00:00:00.000,0,0,1,0,1,1,1,,,brazilsoutheast,3.923997271629787
20,472228,BRA-2022-3-915-8,2022,False,Clear,3,22.0,448,Government of Brazil - Civilians,22.0,915,Government of Brazil - Civilians,22.0,22,Government of Brazil,9999.0,1,Civilians,1,"""Informe Agora,2023-03-14, Relatório descreve dois casos de ações policiais que teriam terminado com execuções sumárias na Maré. RELEMBRE """,Informe Agora,2023-03-14,Relatório descreve dois casos de ações policiais que teriam terminado com execuções sumárias na Maré. RELEMBRE,Informe Agora,1,Rio de Janeiro town,"Maré, Rio de Janeiro/RJ.",Rio de Janeiro state,Rio de Janeiro municipality,-22.90278,-43.2075,POINT (-43.2075 -22.90278),96754,Brazil,140,Americas,1,1,2022-11-25 00:00:00.000,2022-11-25 00:00:00.000,0,0,3,0,3,3,3,140,,brazilsoutheast,3.923997271629787
21,472229,BRA-2022-3-915-7,2022,False,Clear,3,22.0,448,Government of Brazil - Civilians,22.0,915,Government of Brazil - Civilians,22.0,22,Government of Brazil,9999.0,1,Civilians,1,"""Informe Agora,2023-03-14, Relatório descreve dois casos de ações policiais que teriam terminado com execuções sumárias na Maré. RELEMBRE """,Informe Agora,2023-03-14,Relatório descreve dois casos de ações policiais que teriam terminado com execuções sumárias na Maré. RELEMBRE,Informe Agora,1,Rio de Janeiro town,"Maré, Rio de Janeiro/RJ.",Rio de Janeiro state,Rio de Janeiro municipality,-22.90278,-43.2075,POINT (-43.2075 -22.90278),96754,Brazil,140,Americas,1,1,2022-09-26 00:00:00.000,2022-09-26 00:00:00.000,0,0,2,0,2,2,2,140,,brazilsoutheast,3.923997271629787
22,472610,BRA-2022-3-1702-45,2022,True,Clear,3,772.0,1222,Comando Vermelho - Civilians,772.0,1702,Comando Vermelho - Civilians,772.0,772,Comando Vermelho,9999.0,1,Civilians,1,"""Informe Agora,2023-04-27, Considerado X9, homem foi queimado vivo por traficantes em São Gonçalo. Identificação do corpo só foi possível por DNA """,Informe Agora,2023-04-27,"Considerado X9, homem foi queimado vivo por traficantes em São Gonçalo. Identificação do corpo só foi possível por DNA",Informe Agora,1,São Gonçalo town,"Guaxindiba, in São Gonçalo/RJ.",Rio de Janeiro state,São Gonçalo municipality,-22.82694,-43.05389,POINT (-43.05389 -22.82694),96754,Brazil,140,Americas,1,4,2022-06-01 00:00:00.000,2022-06-13 00:00:00.000,0,0,1,0,1,1,1,,,brazilsoutheast,15.060456689929094
23,472612,BRA-2022-2-12693-1,2022,False,Clear,2,12693.0,11934,Comando Vermelho - Terceiro Comando Puro,12693.0,12693,Comando Vermelho - Terceiro Comando Puro,772.0,772,Comando Vermelho,4462.0,4462,Terceiro Comando Puro,2,"""Entre Rios Jornal,2022-09-05,Casal é assassinado a tiros na Ponte das Garças, em Três Rios"";""Informe Agora,2023-04-30, Polícia caça traficante em Três Rios suspeito de matar e casal e atirar em criança de 11 anos por conta de disputa entre o CV e o TCP """,Entre Rios Jornal;Informe Agora,2022-09-05;2023-04-30,"Casal é assassinado a tiros na Ponte das Garças, em Três Rios; Polícia caça traficante em Três Rios suspeito de matar e casal e atirar em criança de 11 anos por conta de disputa entre o CV e o TCP",Entre Rios Jornal; Informe Agora,1,Três Rios town,"Feliciano Lima Street, in the Ponte das Garças neighborhood, in a place known as Banguzinho, Três Rios/RJ.",Rio de Janeiro state,Três Rios municipality,-22.1183,-43.2095,POINT (-43.2095 -22.1183),97474,Brazil,140,Americas,1,1,2022-09-04 00:00:00.000,2022-09-04 00:00:00.000,0,0,0,2,2,2,2,,,brazilsoutheast,88.1265973227722
24,472614,BRA-2023-2-12693-3,2023,False,Clear,2,12693.0,11934,Comando Vermelho - Terceiro Comando Puro,12693.0,12693,Comando Vermelho - Terceiro Comando Puro,772.0,772,Comando Vermelho,4462.0,4462,Terceiro Comando Puro,2,"""Informe Agora,2023-05-01, Estourou de vez a guerra entre Pedreira (TCP) e Chapadão (CV). Criança de 11 anos e jovem de 19 anos acabaram morrendo "";""Informe Agora,2023-05-01, Expansão do CV e ‘crise’ na Pedreira (TCP) estimulam guerra em Costa Barros, que se estendeu para Anchieta. Veja provocações """,Informe Agora;Informe Agora,2023-05-01;2023-05-01,"Estourou de vez a guerra entre Pedreira (TCP) e Chapadão (CV). Criança de 11 anos e jovem de 19 anos acabaram morrendo ; Expansão do CV e ‘crise’ na Pedreira (TCP) estimulam guerra em Costa Barros, que se estendeu para Anchieta. Veja provocações",Informe Agora,1,Rio de Janeiro town,"Pedreira and Chapadão complexes, in Costa Barros, Rio de Janeiro/RJ.",Rio de Janeiro state,Rio de Janeiro municipality,-22.90278,-43.2075,POINT (-43.2075 -22.90278),96754,Brazil,140,Americas,1,1,2023-04-30 00:00:00.000,2023-04-30 00:00:00.000,0,0,2,0,2,2,2,,,brazilsoutheast,3.923997271629787
25,472616,BRA-2023-2-12693-4,2023,False,Clear,2,12693.0,11934,Comando Vermelho - Terceiro Comando Puro,12693.0,12693,Comando Vermelho - Terceiro Comando Puro,772.0,772,Comando Vermelho,4462.0,4462,Terceiro Comando Puro,2,"""Crimes News RJ,2023-04-29,Bondes do CV vão ao Terra Nostra e mata um bandido importante do TCP"";""Informe Agora,2023-05-01, Estourou de vez a guerra entre Pedreira (TCP) e Chapadão (CV). Criança de 11 anos e jovem de 19 anos acabaram morrendo """,Crimes News RJ;Informe Agora,2023-04-29;2023-05-01,Bondes do CV vão ao Terra Nostra e mata um bandido importante do TCP; Estourou de vez a guerra entre Pedreira (TCP) e Chapadão (CV). Criança de 11 anos e jovem de 19 anos acabaram morrendo,Crimes News RJ; Informe Agora,1,Rio de Janeiro town,"Community of Terra Nostra, rio de Janeiro/RJ.",Rio de Janeiro state,Rio de Janeiro municipality,-22.90278,-43.2075,POINT (-43.2075 -22.90278),96754,Brazil,140,Americas,1,1,2023-04-29 00:00:00.000,2023-04-29 00:00:00.000,0,1,0,0,1,1,1,,,brazilsoutheast,3.923997271629787
26,475059,BRA-2022-3-1702-46,2022,True,Clear,3,772.0,1222,Comando Vermelho - Civilians,772.0,1702,Comando Vermelho - Civilians,772.0,772,Comando Vermelho,9999.0,1,Civilians,1,"""G1,2022-10-27,Motorista de aplicativo é morto a tiros em acesso ao Complexo do Chapadão """,G1,2022-10-27,Motorista de aplicativo é morto a tiros em acesso ao Complexo do Chapadão,G1,1,Rio de Janeiro town,"Fernando Logo street, one of the entrances to the Complexo do Chapadão, in Guadalupe, in Rio's North Zone/RJ.",Rio de Janeiro state,Rio de Janeiro municipality,-22.90278,-43.2075,POINT (-43.2075 -22.90278),96754,Brazil,140,Americas,1,1,2022-10-26 00:00:00.000,2022-10-26 00:00:00.000,0,0,1,0,1,1,1,,,brazilsoutheast,3.923997271629787
27,478244,BRA-2023-3-1702-25,2023,True,Clear,3,772.0,1222,Comando Vermelho - Civilians,772.0,1702,Comando Vermelho - Civilians,772.0,772,Comando Vermelho,9999.0,1,Civilians,1,"""Informe Agora,2023-05-24, Adolescente de 17 anos foi torturado, morto e teve o corpo queimado por traficantes em São Gonçalo """,Informe Agora,2023-05-24,"Adolescente de 17 anos foi torturado, morto e teve o corpo queimado por traficantes em São Gonçalo",Informe Agora,1,São Gonçalo town,"Community of Korea, in the Pita neighborhood, in São Gonçalo/RJ.",Rio de Janeiro state,São Gonçalo municipality,-22.82694,-43.05389,POINT (-43.05389 -22.82694),96754,Brazil,140,Americas,1,1,2023-05-20 00:00:00.000,2023-05-20 00:00:00.000,0,0,1,0,1,1,1,,,brazilsoutheast,15.060456689929094
28,478260,BRA-2023-2-12693-5,2023,False,Clear,2,12693.0,11934,Comando Vermelho - Terceiro Comando Puro,12693.0,12693,Comando Vermelho - Terceiro Comando Puro,772.0,772,Comando Vermelho,4462.0,4462,Terceiro Comando Puro,1,"""Informe Agora,2023-06-08, Frente do TCP no Fubá morreu em confronto com rivais do CV """,Informe Agora,2023-06-08,Frente do TCP no Fubá morreu em confronto com rivais do CV,Informe Agora,1,Rio de Janeiro town,"Rua Lancastre, Cascadura, Rio de Janeiro/RJ.",Rio de Janeiro state,Rio de Janeiro municipality,-22.90278,-43.2075,POINT (-43.2075 -22.90278),96754,Brazil,140,Americas,1,1,2023-06-08 00:00:00.000,2023-06-08 00:00:00.000,0,1,0,0,1,1,1,,,brazilsoutheast,3.923997271629787
29,478264,BRA-2022-3-1702-47,2022,True,Clear,3,772.0,1222,Comando Vermelho - Civilians,772.0,1702,Comando Vermelho - Civilians,772.0,772,Comando Vermelho,9999.0,1,Civilians,1,"""Informe Agora,2023-05-02, Usuário de crack que cometia furtos para sustentar o vício caiu no ‘Tribunal do Tráfico’ na Camarista Méier (CV) """,Informe Agora,2023-05-02,Usuário de crack que cometia furtos para sustentar o vício caiu no ‘Tribunal do Tráfico’ na Camarista Méier (CV),Informe Agora,1,Rio de Janeiro town,"Camarista Méier community, in Engenho de Dentro, Rio de Janeiro/RJ.",Rio de Janeiro state,Rio de Janeiro municipality,-22.90278,-43.2075,POINT (-43.2075 -22.90278),96754,Brazil,140,Americas,1,1,2022-01-25 00:00:00.000,2022-01-25 00:00:00.000,0,0,1,0,1,1,1,,,brazilsoutheast,3.923997271629787
30,478515,BRA-2021-2-12693-15,2021,False,Clear,2,12693.0,11934,Comando Vermelho - Terceiro Comando Puro,12693.0,12693,Comando Vermelho - Terceiro Comando Puro,772.0,772,Comando Vermelho,4462.0,4462,Terceiro Comando Puro,1,"""G1,2021-03-12,Mais um homem é morto em novo confronto entre facções criminosas em Três Rios""",G1,2021-03-12,Mais um homem é morto em novo confronto entre facções criminosas em Três Rios,G1,1,Três Rios town,"Guilherme Jorge Pinheiro Street, in Barros Franco neighborhood, Três Rios/RJ.",Rio de Janeiro state,Três Rios municipality,-22.1183,-43.2095,POINT (-43.2095 -22.1183),97474,Brazil,140,Americas,1,1,2021-03-11 00:00:00.000,2021-03-11 00:00:00.000,0,0,0,1,1,1,1,,,brazilsoutheast,88.1265973227722
31,478517,BRA-2021-2-12693-17,2021,False,Clear,2,12693.0,11934,Comando Vermelho - Terceiro Comando Puro,12693.0,12693,Comando Vermelho - Terceiro Comando Puro,772.0,772,Comando Vermelho,4462.0,4462,Terceiro Comando Puro,4,"""G1,2021-03-12,Mais um homem é morto em novo confronto entre facções criminosas em Três Rios"";""Informe Agora,2023-05-10, Vingança do CV contra o TCP e o PCC em 2021 ainda é alvo de inquérito na Justiça de Três Rios "";""R Lagos Notícias,2021-08-20,14 pessoas são presas durante operação contra o trafico de drogas em Três Rios; Operação foi batizada como Seth”, deus egípcio da violência e da desordem."";""R Lagos Notícias,2021-06-18,Operação 108ª DP e da CORE prende homem que matou “BIZIM líder do tráfico do TCP” em Três Rios""",G1;Informe Agora;R Lagos Notícias;R Lagos Notícias,2021-03-12;2023-05-10;2021-08-20;2021-06-18,"Mais um homem é morto em novo confronto entre facções criminosas em Três Rios; Vingança do CV contra o TCP e o PCC em 2021 ainda é alvo de inquérito na Justiça de Três Rios ;14 pessoas são presas durante operação contra o trafico de drogas em Três Rios; Operação foi batizada como Seth”, deus egípcio da violência e da desordem.;Operação 108ª DP e da CORE prende homem que matou “BIZIM líder do tráfico do TCP” em Três Rios",G1; Informe Agora; R Lagos Notícias,1,Três Rios town,"Vila Isabel neighborhood, Três Rios/RJ.",Rio de Janeiro state,Três Rios municipality,-22.1183,-43.2095,POINT (-43.2095 -22.1183),97474,Brazil,140,Americas,1,1,2021-03-11 00:00:00.000,2021-03-11 00:00:00.000,1,0,0,0,1,1,1,,,brazilsoutheast,88.1265973227722
